id,result,category,measure
855,"{
  ""category"": 6,
  ""measure"": ""Calibrated structural model estimates of intergenerational mobility (via an inheritance model)""
}",6,Calibrated structural model estimates of intergenerational mobility (via an inheritance model)
865,"{
  ""category"": 1,
  ""measure"": ""Regression‐based measure capturing direct and indirect effects on intergenerational income mobility (e.g., estimating intergenerational income elasticity or similar regression coefficients)""
}",1,"Regression‐based measure capturing direct and indirect effects on intergenerational income mobility (e.g., estimating intergenerational income elasticity or similar regression coefficients)"
868,"{
  ""category"": 8,
  ""measure"": ""The paper does not report a conventional intergenerational mobility measure (such as an IGE or transition matrix). Instead, it employs detailed simulation analyses to assess the effects of proposed inheritance tax reforms and their revenue implications for wealth concentration.""
}",8,"The paper does not report a conventional intergenerational mobility measure (such as an IGE or transition matrix). Instead, it employs detailed simulation analyses to assess the effects of proposed inheritance tax reforms and their revenue implications for wealth concentration."
869,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
878,"{
  ""category"": 1,
  ""measure"": ""Income‐Achievement Gap (estimated via regression-based approach)""
}",1,Income‐Achievement Gap (estimated via regression-based approach)
892,"{
  ""category"": 6,
  ""measure"": ""Model-based income mobility estimates derived from a structural extension of the canonical intergenerational human capital investment model""
}",6,Model-based income mobility estimates derived from a structural extension of the canonical intergenerational human capital investment model
897,"{
  ""category"": 2,
  ""measure"": ""Relative educational positions measure (a novel mobility measure based on relative positions across the schooling distribution)""
}",2,Relative educational positions measure (a novel mobility measure based on relative positions across the schooling distribution)
906,"{
  ""category"": 8,
  ""measure"": ""None specified; the abstract does not indicate a specific quantitative measure such as regression‐based, rank‐based, etc.""
}",8,"None specified; the abstract does not indicate a specific quantitative measure such as regression‐based, rank‐based, etc."
932,"{
  ""category"": 8,
  ""measure"": ""No specific quantitative measure is provided; the paper introduces a theoretical 'Structure of Labor' framework rather than an estimate from a model or equation.""
}",8,No specific quantitative measure is provided; the paper introduces a theoretical 'Structure of Labor' framework rather than an estimate from a model or equation.
947,"{
  ""category"": 8,
  ""measure"": ""Heir fraction measure and top 0.01% wealth share measure""
}",8,Heir fraction measure and top 0.01% wealth share measure
950,"{
  ""category"": 1,
  ""measure"": ""A regression‐based measure for intergenerational income mobility (essentially estimating an intergenerational elasticity via a partially linear model using a sharp identified set)""
}",1,A regression‐based measure for intergenerational income mobility (essentially estimating an intergenerational elasticity via a partially linear model using a sharp identified set)
953,"{
  ""category"": 8,
  ""measure"": ""The paper derives a theoretical, model‐based measure of intergenerational mobility characterized by its transitional dynamics – essentially quantifying mobility via the dynamics of worker composition and transfers per child. There is no standard empirical metric (such as an IGE, rank‐based measure, or transition matrix) explicitly used.""
}",8,"The paper derives a theoretical, model‐based measure of intergenerational mobility characterized by its transitional dynamics – essentially quantifying mobility via the dynamics of worker composition and transfers per child. There is no standard empirical metric (such as an IGE, rank‐based measure, or transition matrix) explicitly used."
955,"{
  ""category"": 8,
  ""measure"": ""Comparative analysis of wealth and income mobility by decomposing the contribution of property price rises to household asset accumulation and liabilities, with an assessment of generational heterogeneity""
}",8,"Comparative analysis of wealth and income mobility by decomposing the contribution of property price rises to household asset accumulation and liabilities, with an assessment of generational heterogeneity"
958,"{
  ""category"": 6,
  ""measure"": ""Structural model‐based measures derived from a general equilibrium overlapping generations framework that simulate the intergenerational effects of policy reforms (evaluating welfare gains, distributional consequences and college completion outcomes)""
}",6,"Structural model‐based measures derived from a general equilibrium overlapping generations framework that simulate the intergenerational effects of policy reforms (evaluating welfare gains, distributional consequences and college completion outcomes)"
959,"{
  ""category"": 8,
  ""measure"": ""Not specified – the abstract does not provide details of any specific model-based measure (e.g., IGE, rank-based, or transition matrices) for intergenerational mobility.""
}",8,"Not specified – the abstract does not provide details of any specific model-based measure (e.g., IGE, rank-based, or transition matrices) for intergenerational mobility."
963,"{
  ""category"": 8,
  ""measure"": ""Heirs fraction and top 0.01% wealth shares""
}",8,Heirs fraction and top 0.01% wealth shares
964,"{
  ""category"": 1,
  ""measure"": ""Ordered probit regression estimates that quantify the effect of housing quantity and living space on residents' subjective social status and intergenerational mobility.""
}",1,Ordered probit regression estimates that quantify the effect of housing quantity and living space on residents' subjective social status and intergenerational mobility.
967,"{
  ""category"": 1,
  ""measure"": ""The study appears to use regression‐based estimates (e.g., estimating an intergenerational elasticity or similar regression coefficient) to quantify mobility.""
}",1,"The study appears to use regression‐based estimates (e.g., estimating an intergenerational elasticity or similar regression coefficient) to quantify mobility."
976,"{
  ""category"": 1,
  ""measure"": ""Regression models (including unconditional quantile regression) and wage gap decomposition analysis""
}",1,Regression models (including unconditional quantile regression) and wage gap decomposition analysis
977,"{
  ""category"": 8,
  ""measure"": ""The abstract does not explicitly mention a specific quantitative measure (e.g., Intergenerational Elasticity) for intergenerational mobility.""
}",8,"The abstract does not explicitly mention a specific quantitative measure (e.g., Intergenerational Elasticity) for intergenerational mobility."
985,"{
  ""category"": 6,
  ""measure"": ""Optimal inheritance tax model (a structural simulation approach incorporating bequest motives and parental educational decisions)""
}",6,Optimal inheritance tax model (a structural simulation approach incorporating bequest motives and parental educational decisions)
994,"{
  ""category"": 8,
  ""measure"": ""No specific quantitative measure (such as IGE, transition matrix, etc.) is mentioned; the paper relies on qualitative interviews and survey data to explore the role of social networks in economic mobility.""
}",8,"No specific quantitative measure (such as IGE, transition matrix, etc.) is mentioned; the paper relies on qualitative interviews and survey data to explore the role of social networks in economic mobility."
1000,"{""category"": 1, ""measure"": ""Regression‐based measure, likely estimating an intergenerational elasticity of inherited wealth""}",1,"Regression‐based measure, likely estimating an intergenerational elasticity of inherited wealth"
1006,"{
  ""category"": 6,
  ""measure"": ""Structural-model based estimates of intergenerational mobility derived from numerical simulations of a mixed school financing regime""
}",6,Structural-model based estimates of intergenerational mobility derived from numerical simulations of a mixed school financing regime
1007,"{
  ""category"": 8,
  ""measure"": ""A model‐implied intergenerational mobility measure derived from a structural equilibrium model with self‐selection in education/investment decisions""
}",8,A model‐implied intergenerational mobility measure derived from a structural equilibrium model with self‐selection in education/investment decisions
