period,dt.name,m.name,rq.name,names,n_papers
2016-2020,No dataset,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[No dataset, Absolute Mobility Measures, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Administrative/Registry Data,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Absolute Mobility Measures, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Linked Administrative Data,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Absolute Mobility Measures, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Administrative/Registry Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Archival/Historical Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Archival/Historical Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2016-2020,No dataset,Others_Measure,"Policy, Institutional, and Geographic Impacts","[No dataset, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Panel/Longitudinal Surveys,Others_Measure,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Natural/Experimental Data,Others_Measure,"Policy, Institutional, and Geographic Impacts","[Natural/Experimental Data, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2016-2020,Linked Administrative Data,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2016-2020,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2016-2020,Panel/Longitudinal Surveys,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2016-2020,Linked Administrative Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2016-2020,No dataset,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[No dataset, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2016-2020,National Survey Data,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[National Survey Data, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2016-2020,Panel/Longitudinal Surveys,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2016-2020,No dataset,Others_Measure,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[No dataset, Others_Measure, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2016-2020,National Survey Data,Others_Measure,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[National Survey Data, Others_Measure, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Regression‐based Measures, Empirical Estimates and Determinants]",12
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",9
2021-2025,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",9
2021-2025,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Regression‐based Measures, Empirical Estimates and Determinants]",7
2021-2025,Administrative/Registry Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Rank‐based Measures, Empirical Estimates and Determinants]",7
2021-2025,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Regression‐based Measures, Empirical Estimates and Determinants]",6
2021-2025,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",5
2021-2025,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",5
2021-2025,Administrative/Registry Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",5
2021-2025,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,"[No dataset, Decomposition / Structural Approaches, Theoretical and Structural Models]",5
2021-2025,Linked Administrative Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",5
2021-2025,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Regression‐based Measures, Empirical Estimates and Determinants]",5
2021-2025,Linked Administrative Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",4
2021-2025,No dataset,Regression‐based Measures,Theoretical and Structural Models,"[No dataset, Regression‐based Measures, Theoretical and Structural Models]",4
2021-2025,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,"[No dataset, Regression‐based Measures, Empirical Estimates and Determinants]",4
2021-2025,No dataset,Regression‐based Measures,Measurement and Methodological Advances,"[No dataset, Regression‐based Measures, Measurement and Methodological Advances]",4
2021-2025,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",3
2021-2025,Linked Administrative Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Linked Administrative Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",3
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Regression‐based Measures, Measurement and Methodological Advances]",3
2021-2025,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",2
2021-2025,Big Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Big Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",2
2021-2025,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,"[Others_DataType, Regression‐based Measures, Empirical Estimates and Determinants]",2
2021-2025,Administrative/Registry Data,Rank‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Rank‐based Measures, Measurement and Methodological Advances]",2
2021-2025,Administrative/Registry Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",2
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",2
2021-2025,Linked Administrative Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",2
2021-2025,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",2
2021-2025,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Natural/Experimental Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Natural/Experimental Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Linked Administrative Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,International Panel Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[International Panel Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Natural/Experimental Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Natural/Experimental Data, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Opportunity Atlas,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Opportunity Atlas, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Administrative/Registry Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Linked Administrative Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Panel/Longitudinal Surveys,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Archival/Historical Data, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,No dataset,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,University/Institution Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[University/Institution Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",1
2021-2025,No dataset,Others_Measure,Theoretical and Structural Models,"[No dataset, Others_Measure, Theoretical and Structural Models]",1
2021-2025,Administrative/Registry Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2021-2025,Others_DataType,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Others_DataType, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2021-2025,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2021-2025,National Survey Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[National Survey Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",1
2021-2025,Administrative/Registry Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Administrative/Registry Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",1
2021-2025,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",1
2021-2025,International Panel Data,Regression‐based Measures,Empirical Estimates and Determinants,"[International Panel Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Natural/Experimental Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Natural/Experimental Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Opportunity Atlas,Regression‐based Measures,Empirical Estimates and Determinants,"[Opportunity Atlas, Regression‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Big Data,Regression‐based Measures,Empirical Estimates and Determinants,"[Big Data, Regression‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Administrative/Registry Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2021-2025,Opportunity Atlas,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Opportunity Atlas, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",1
2021-2025,No dataset,Others_Measure,Empirical Estimates and Determinants,"[No dataset, Others_Measure, Empirical Estimates and Determinants]",1
2021-2025,Others_DataType,Others_Measure,Empirical Estimates and Determinants,"[Others_DataType, Others_Measure, Empirical Estimates and Determinants]",1
2021-2025,Panel/Longitudinal Surveys,Others_Measure,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Others_Measure, Empirical Estimates and Determinants]",1
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Rank‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Rank‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,National Survey Data,Rank‐based Measures,Empirical Estimates and Determinants,"[National Survey Data, Rank‐based Measures, Empirical Estimates and Determinants]",1
2021-2025,Linked Administrative Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Absolute Mobility Measures, Measurement and Methodological Advances]",1
2021-2025,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",1
2021-2025,Panel/Longitudinal Surveys,Others_Measure,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Others_Measure, Measurement and Methodological Advances]",1
2021-2025,No dataset,Non‐parametric Approaches,Measurement and Methodological Advances,"[No dataset, Non‐parametric Approaches, Measurement and Methodological Advances]",1
2021-2025,No dataset,Rank‐based Measures,Measurement and Methodological Advances,"[No dataset, Rank‐based Measures, Measurement and Methodological Advances]",1
2021-2025,Others_DataType,Rank‐based Measures,Measurement and Methodological Advances,"[Others_DataType, Rank‐based Measures, Measurement and Methodological Advances]",1
2021-2025,National Survey Data,Rank‐based Measures,Measurement and Methodological Advances,"[National Survey Data, Rank‐based Measures, Measurement and Methodological Advances]",1
2021-2025,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[No dataset, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2021-2025,National Survey Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2021-2025,Natural/Experimental Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Natural/Experimental Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",1
2021-2025,National Survey Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2021-2025,Natural/Experimental Data,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Natural/Experimental Data, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2021-2025,Opportunity Atlas,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[Opportunity Atlas, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2021-2025,Linked Administrative Data,Others_Measure,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Others_Measure, Policy, Institutional, and Geographic Impacts]",1
2021-2025,Administrative/Registry Data,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",1
2021-2025,National Survey Data,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[National Survey Data, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2021-2025,Linked Administrative Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",1
2021-2025,Panel/Longitudinal Surveys,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2021-2025,Linked Administrative Data,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Linked Administrative Data, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2021-2025,Others_DataType,Multigenerational Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Others_DataType, Multigenerational Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2021-2025,Opportunity Atlas,Rank‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Opportunity Atlas, Rank‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",1
2021-2025,National Survey Data,Regression‐based Measures,Perceptions of Mobility and Attitudes,"[National Survey Data, Regression‐based Measures, Perceptions of Mobility and Attitudes]",1
2021-2025,National Survey Data,Others_Measure,Perceptions of Mobility and Attitudes,"[National Survey Data, Others_Measure, Perceptions of Mobility and Attitudes]",1
2021-2025,Administrative/Registry Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Administrative/Registry Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Others_DataType,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Linked Administrative Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,National Survey Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Absolute Mobility Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Natural/Experimental Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[Natural/Experimental Data, Decomposition / Structural Approaches, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Regression‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Opportunity Atlas,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,"[Opportunity Atlas, Transition Matrix / Probability Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[No dataset, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Linked Administrative Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[Linked Administrative Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,National Survey Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Others_Measure, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Others_DataType,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Multigenerational Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Others_DataType,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Others_DataType, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,National Survey Data,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[National Survey Data, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Opportunity Atlas,Rank‐based Measures,Intergenerational Wealth Mobility and Inheritance,"[Opportunity Atlas, Rank‐based Measures, Intergenerational Wealth Mobility and Inheritance]",0
2021-2025,Natural/Experimental Data,Absolute Mobility Measures,Empirical Estimates and Determinants,"[Natural/Experimental Data, Absolute Mobility Measures, Empirical Estimates and Determinants]",0
2021-2025,No dataset,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[No dataset, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2021-2025,National Survey Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[National Survey Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2021-2025,Natural/Experimental Data,Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[Natural/Experimental Data, Decomposition / Structural Approaches, Empirical Estimates and Determinants]",0
2021-2025,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[No dataset, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2021-2025,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Panel/Longitudinal Surveys, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2021-2025,Linked Administrative Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,"[Linked Administrative Data, Transition Matrix / Probability Measures, Empirical Estimates and Determinants]",0
2021-2025,Linked Administrative Data,Others_Measure,Empirical Estimates and Determinants,"[Linked Administrative Data, Others_Measure, Empirical Estimates and Determinants]",0
2021-2025,National Survey Data,Others_Measure,Empirical Estimates and Determinants,"[National Survey Data, Others_Measure, Empirical Estimates and Determinants]",0
2021-2025,No dataset,Rank‐based Measures,Empirical Estimates and Determinants,"[No dataset, Rank‐based Measures, Empirical Estimates and Determinants]",0
2021-2025,Others_DataType,Rank‐based Measures,Empirical Estimates and Determinants,"[Others_DataType, Rank‐based Measures, Empirical Estimates and Determinants]",0
2021-2025,Opportunity Atlas,Rank‐based Measures,Empirical Estimates and Determinants,"[Opportunity Atlas, Rank‐based Measures, Empirical Estimates and Determinants]",0
2021-2025,Administrative/Registry Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2021-2025,Others_DataType,Absolute Mobility Measures,Measurement and Methodological Advances,"[Others_DataType, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2021-2025,Panel/Longitudinal Surveys,Absolute Mobility Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2021-2025,National Survey Data,Absolute Mobility Measures,Measurement and Methodological Advances,"[National Survey Data, Absolute Mobility Measures, Measurement and Methodological Advances]",0
2021-2025,Administrative/Registry Data,Regression‐based Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Regression‐based Measures, Measurement and Methodological Advances]",0
2021-2025,Others_DataType,Regression‐based Measures,Measurement and Methodological Advances,"[Others_DataType, Regression‐based Measures, Measurement and Methodological Advances]",0
2021-2025,Linked Administrative Data,Regression‐based Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Regression‐based Measures, Measurement and Methodological Advances]",0
2021-2025,National Survey Data,Regression‐based Measures,Measurement and Methodological Advances,"[National Survey Data, Regression‐based Measures, Measurement and Methodological Advances]",0
2021-2025,No dataset,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[No dataset, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2021-2025,Administrative/Registry Data,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Administrative/Registry Data, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2021-2025,Linked Administrative Data,Transition Matrix / Probability Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Transition Matrix / Probability Measures, Measurement and Methodological Advances]",0
2021-2025,No dataset,Others_Measure,Measurement and Methodological Advances,"[No dataset, Others_Measure, Measurement and Methodological Advances]",0
2021-2025,Others_DataType,Others_Measure,Measurement and Methodological Advances,"[Others_DataType, Others_Measure, Measurement and Methodological Advances]",0
2021-2025,Linked Administrative Data,Others_Measure,Measurement and Methodological Advances,"[Linked Administrative Data, Others_Measure, Measurement and Methodological Advances]",0
2021-2025,National Survey Data,Others_Measure,Measurement and Methodological Advances,"[National Survey Data, Others_Measure, Measurement and Methodological Advances]",0
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,Measurement and Methodological Advances,"[Panel/Longitudinal Surveys, Rank‐based Measures, Measurement and Methodological Advances]",0
2021-2025,Linked Administrative Data,Rank‐based Measures,Measurement and Methodological Advances,"[Linked Administrative Data, Rank‐based Measures, Measurement and Methodological Advances]",0
2021-2025,Administrative/Registry Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Administrative/Registry Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Linked Administrative Data,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Decomposition / Structural Approaches, Policy, Institutional, and Geographic Impacts]",0
2021-2025,No dataset,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts","[No dataset, Regression‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2021-2025,No dataset,Others_Measure,"Policy, Institutional, and Geographic Impacts","[No dataset, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Panel/Longitudinal Surveys,Others_Measure,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2021-2025,National Survey Data,Others_Measure,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Others_Measure, Policy, Institutional, and Geographic Impacts]",0
2021-2025,No dataset,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[No dataset, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",0
