year,type,datatype,rqtype,measures,num_articles,article_ids
2004,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W8680042]
2020,empirical,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Others],1,[https://openalex.org/W3018625260]
2021,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,"[Others, Rank‐based Measures]",1,[https://openalex.org/W3128702014]
2024,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W4402986304]
2024,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,"[Others, Rank‐based Measures]",1,[https://openalex.org/W4403370613]
2013,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W2134725625]
2008,empirical,Others,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W3125155430]
2023,empirical,Others,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W4386094306]
2013,Not_specified,National Survey Data,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W2123210148]
2022,empirical,National Survey Data,Perceptions of Mobility and Attitudes,"[Decomposition / Structural Approaches, Others]",1,[https://openalex.org/W4213429281]
2018,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Others],1,[https://openalex.org/W2890540479]
2020,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Others],1,[https://openalex.org/W3161971993]
2007,empirical,Administrative/Registry Data,Measurement and Methodological Advances,[Others],1,[https://openalex.org/W1546068527]
2009,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W2079691849]
2019,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W2947666646]
2019,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Others],1,[https://openalex.org/W2966414435]
2020,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,"[Decomposition / Structural Approaches, Others]",1,[https://openalex.org/W3032637579]
2019,Not_specified,Natural/Experimental Data,Perceptions of Mobility and Attitudes,[Others],1,[https://openalex.org/W3136420028]
2015,Not_specified,Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants,[Others],1,[https://openalex.org/W2337892695]
2020,empirical,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W3007051557]
2020,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3037216812]
2024,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W4392341912]
2021,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W3127732452]
2003,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W115198923]
2000,theoretical,No dataset,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W1527079419]
2014,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W1583265181]
2015,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W1969182931]
1996,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2051645598]
2000,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W2144050291]
2014,theoretical,No dataset,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W2153943844]
2015,theoretical,No dataset,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W2229381819]
2005,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W2258354779]
2018,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W2804095451]
2018,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2913916335]
2019,theoretical,No dataset,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W2938378096]
2019,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W2971359031]
2020,empirical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W3021741550]
2020,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W3044383046]
2009,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3124279434]
1995,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W3124481018]
2024,Not_specified,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3168728451]
2015,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W4230356224]
2023,theoretical,No dataset,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W4367597654]
2007,theoretical,No dataset,Theoretical and Structural Models,[Decomposition / Structural Approaches],1,[https://openalex.org/W85222481]
2016,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2556000214]
2011,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Decomposition / Structural Approaches],1,[https://openalex.org/W1504828284]
2006,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2158055684]
2019,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2972798438]
2022,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W4210953259]
2020,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3000604125]
2012,theoretical,Others,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W3123563038]
2013,empirical,National Survey Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W1748686498]
2015,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Decomposition / Structural Approaches],1,[https://openalex.org/W2134426017]
2015,empirical,National Survey Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W2375187415]
2017,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W2663861583]
2020,empirical,National Survey Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W2921069773]
2012,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Decomposition / Structural Approaches],1,[https://openalex.org/W3125330545]
2021,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3208534945]
2021,empirical,National Survey Data,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W4312882163]
2015,Not_specified,Administrative/Registry Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W632219639]
1981,theoretical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W267019868]
2018,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W2804958844]
2015,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W291004932]
2018,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3025499686]
2019,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W3171039042]
2021,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Decomposition / Structural Approaches],1,[https://openalex.org/W3182550406]
2021,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,"[Decomposition / Structural Approaches, Rank‐based Measures]",1,[https://openalex.org/W3211027916]
2024,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Decomposition / Structural Approaches],1,[https://openalex.org/W4404109958]
2017,theoretical,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W3026679872]
2022,theoretical,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts",[Decomposition / Structural Approaches],1,[https://openalex.org/W4283764937]
2022,empirical,University/Institution Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4285199241]
2014,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W2155246844]
2018,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W2512952691]
2008,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W3124527946]
2019,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W3145594932]
2021,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W3169577729]
2020,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W3189747191]
2022,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W3207067564]
2023,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4385213642]
2024,empirical,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",[Rank‐based Measures],1,[https://openalex.org/W4402018025]
2024,empirical,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4405920878]
2021,theoretical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4200297537]
2025,empirical,No dataset,Measurement and Methodological Advances,[Rank‐based Measures],1,[https://openalex.org/W4406103194]
2020,empirical,Panel/Longitudinal Surveys,Measurement and Methodological Advances,[Rank‐based Measures],1,[https://openalex.org/W3033668572]
2011,empirical,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",[Rank‐based Measures],1,[https://openalex.org/W4232769139]
2023,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4386929517]
2023,empirical,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W4387158607]
2019,empirical,National Survey Data,Perceptions of Mobility and Attitudes,[Rank‐based Measures],1,[https://openalex.org/W2955018254]
2023,empirical,National Survey Data,Measurement and Methodological Advances,[Rank‐based Measures],1,[https://openalex.org/W4322624816]
2025,empirical,National Survey Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W4406632693]
2018,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W2912008487]
2018,empirical,Administrative/Registry Data,Measurement and Methodological Advances,[Rank‐based Measures],1,[https://openalex.org/W3109347625]
2016,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W3124358677]
2021,empirical,Administrative/Registry Data,Measurement and Methodological Advances,[Rank‐based Measures],1,[https://openalex.org/W3176622639]
2021,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W3184422859]
2021,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W4211263339]
2022,empirical,Administrative/Registry Data,Empirical Estimates and Determinants,[Rank‐based Measures],1,[https://openalex.org/W4312705867]
2023,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Rank‐based Measures],1,[https://openalex.org/W4367052625]
2025,empirical,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",[Rank‐based Measures],1,[https://openalex.org/W4406151692]
2023,empirical,Opportunity Atlas,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Rank‐based Measures],1,[https://openalex.org/W4387912130]
2014,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W2122845532]
2022,empirical,Others,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",[Multigenerational Measures],1,[https://openalex.org/W4307156538]
2001,empirical,National Survey Data,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W3123290206]
2008,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W2039841106]
2011,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W2186374397]
2016,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W2565185528]
2017,empirical,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",[Multigenerational Measures],1,[https://openalex.org/W2625426831]
2017,Not_specified,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts",[Multigenerational Measures],1,[https://openalex.org/W2780097379]
2024,empirical,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,[Multigenerational Measures],1,[https://openalex.org/W4390870445]
2015,empirical,Linked Administrative Data,Empirical Estimates and Determinants,[Non‐parametric Approaches],1,[https://openalex.org/W2485689150]
2021,theoretical,No dataset,Measurement and Methodological Advances,[Non‐parametric Approaches],1,[https://openalex.org/W2546674699]
2019,empirical,No dataset,Measurement and Methodological Advances,[Non‐parametric Approaches],1,[https://openalex.org/W3121217472]
2017,empirical,No dataset,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W3125052842]
2002,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W2009705015]
2017,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W2595264819]
2014,empirical,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W765699370]
2010,empirical,Others,Measurement and Methodological Advances,[Non‐parametric Approaches],1,[https://openalex.org/W1994441718]
2020,empirical,Others,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W2773358030]
2014,empirical,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,[Non‐parametric Approaches],1,[https://openalex.org/W2182749524]
