from_type,from_val,to_type,to_val,weight
DataType,Administrative/Registry Data,Year,2021,8
Year,2012,DataType,National Survey Data,8
Year,2007,Year,2005,8
Measure,Others,Year,2005,8
DataType,Others,DataType,Administrative/Registry Data,8
Year,2012,DataType,Administrative/Registry Data,8
Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",8
Year,2022,Year,2002,8
Year,2016,Year,2002,8
Type,Not_specified,Year,2002,8
Year,2012,Year,2002,8
Year,2017,Year,2002,8
DataType,International Panel Data,Year,2013,8
Type,theoretical,Year,2018,8
DataType,National Survey Data,Year,2018,8
Year,2017,Measure,Decomposition / Structural Approaches,8
Year,2012,Measure,Decomposition / Structural Approaches,8
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2014,8
Year,2014,Measure,Rank‐based Measures,8
DataType,Natural/Experimental Data,Measure,Rank‐based Measures,8
DataType,No dataset,DataType,Archival/Historical Data,8
RqType,Empirical Estimates and Determinants,DataType,Archival/Historical Data,8
DataType,Linked Administrative Data,Year,2023,8
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2003,8
RqType,Empirical Estimates and Determinants,Year,2003,8
Year,2016,Year,1979,8
Measure,Others,Year,1979,8
Year,2013,Year,1979,8
Year,2020,Year,1979,8
RqType,Empirical Estimates and Determinants,Year,1990,8
Year,2021,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",8
DataType,National Survey Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",8
Year,2019,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",8
Year,2023,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",8
Measure,Transition Matrix / Probability Measures,Year,1999,8
DataType,National Survey Data,Year,2000,7
Measure,Transition Matrix / Probability Measures,Year,2010,7
DataType,Panel/Longitudinal Surveys,Year,1992,7
RqType,Measurement and Methodological Advances,Year,1979,7
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1990,7
Year,2020,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",7
Measure,Others,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",7
Year,2020,Year,1999,7
RqType,Measurement and Methodological Advances,Year,1999,7
Year,2019,Year,1999,7
Year,2018,Year,2017,7
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Absolute Mobility Measures,7
Year,2019,Measure,Absolute Mobility Measures,7
Year,1998,Measure,Regression‐based Measures,7
Year,2009,DataType,No dataset,7
Year,2008,DataType,No dataset,7
DataType,Archival/Historical Data,DataType,No dataset,7
Year,1998,RqType,Empirical Estimates and Determinants,7
RqType,Others,RqType,Empirical Estimates and Determinants,7
DataType,Big Data,RqType,Empirical Estimates and Determinants,7
Year,2018,Type,Not_specified,7
DataType,National Survey Data,Year,1980,7
Measure,Absolute Mobility Measures,Year,2009,7
Year,2018,Year,2009,7
DataType,International Panel Data,Measure,Transition Matrix / Probability Measures,7
DataType,Natural/Experimental Data,Measure,Transition Matrix / Probability Measures,7
Year,2010,DataType,Panel/Longitudinal Surveys,7
DataType,Archival/Historical Data,DataType,Panel/Longitudinal Surveys,7
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,Panel/Longitudinal Surveys,7
RqType,Perceptions of Mobility and Attitudes,DataType,Panel/Longitudinal Surveys,7
DataType,Others,RqType,Measurement and Methodological Advances,7
Measure,Non‐parametric Approaches,RqType,Measurement and Methodological Advances,7
Year,2011,RqType,Measurement and Methodological Advances,7
Year,2019,RqType,Measurement and Methodological Advances,7
Measure,Transition Matrix / Probability Measures,RqType,Measurement and Methodological Advances,7
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2020,7
RqType,Measurement and Methodological Advances,Year,2020,7
Type,Not_specified,Year,2020,7
DataType,Panel/Longitudinal Surveys,DataType,Others,7
Year,2022,DataType,Others,7
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Others,7
Year,2023,DataType,Others,7
Year,2017,Year,2016,7
Measure,Decomposition / Structural Approaches,Year,2016,7
Measure,Regression‐based Measures,Year,2024,7
Year,2015,Year,2012,7
Measure,Rank‐based Measures,Year,2012,7
Year,2021,Year,2012,7
RqType,Measurement and Methodological Advances,Year,2012,7
Year,2012,RqType,Theoretical and Structural Models,7
DataType,Others,Type,theoretical,7
DataType,Linked Administrative Data,Year,2021,7
Year,2020,DataType,National Survey Data,7
Measure,Absolute Mobility Measures,DataType,National Survey Data,7
Year,2017,DataType,National Survey Data,7
Year,2011,Year,2006,7
Measure,Decomposition / Structural Approaches,Year,2006,7
DataType,Linked Administrative Data,Year,2022,7
DataType,Archival/Historical Data,Year,2005,7
Measure,Non‐parametric Approaches,Year,2005,7
Type,theoretical,DataType,Administrative/Registry Data,7
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Administrative/Registry Data,7
DataType,National Survey Data,RqType,"Policy, Institutional, and Geographic Impacts",7
Year,2021,RqType,"Policy, Institutional, and Geographic Impacts",7
Year,2011,Year,2002,7
Year,2005,Year,2002,7
Year,2018,Year,2002,7
Year,2024,Year,2002,7
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Decomposition / Structural Approaches,7
DataType,Others,Measure,Decomposition / Structural Approaches,7
DataType,Natural/Experimental Data,Year,2014,7
Year,2018,Year,2015,7
Year,2020,Year,2015,7
Year,2024,DataType,Archival/Historical Data,7
Measure,Others,Year,2007,7
RqType,Empirical Estimates and Determinants,Year,2023,7
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Non‐parametric Approaches,7
DataType,No dataset,Measure,Non‐parametric Approaches,7
Year,2005,Type,theoretical,6
DataType,Panel/Longitudinal Surveys,Year,2021,6
RqType,Theoretical and Structural Models,Year,2019,6
Year,2016,Year,2006,6
Year,2015,Year,2006,6
Measure,Others,Year,2006,6
RqType,Theoretical and Structural Models,DataType,Administrative/Registry Data,6
DataType,Others,RqType,"Policy, Institutional, and Geographic Impacts",6
Year,2008,Year,2002,6
Type,empirical,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",6
RqType,Theoretical and Structural Models,Year,2013,6
Measure,Transition Matrix / Probability Measures,Year,2018,6
Year,2007,Measure,Decomposition / Structural Approaches,6
Measure,Multigenerational Measures,Year,2014,6
RqType,Theoretical and Structural Models,DataType,International Panel Data,6
Measure,Others,DataType,International Panel Data,6
DataType,No dataset,Year,2008,6
Year,2019,Year,2008,6
DataType,National Survey Data,Year,2008,6
Measure,Multigenerational Measures,Measure,Rank‐based Measures,6
Year,2017,Year,2015,6
RqType,Measurement and Methodological Advances,Year,2015,6
Year,2019,Year,2015,6
Year,2021,Year,2015,6
DataType,Administrative/Registry Data,Year,2015,6
Year,2023,Year,2007,6
Year,2012,Year,2007,6
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2023,6
Measure,Regression‐based Measures,Year,2023,6
RqType,Theoretical and Structural Models,Year,2011,6
DataType,Others,Year,2011,6
DataType,Panel/Longitudinal Surveys,Year,2000,6
DataType,Linked Administrative Data,Year,2000,6
Year,2016,Year,2010,6
RqType,Theoretical and Structural Models,Year,2010,6
Year,2022,Year,2010,6
Year,2011,Year,2010,6
DataType,Administrative/Registry Data,Year,2010,6
DataType,Linked Administrative Data,Year,1992,6
Year,2006,Year,1979,6
Year,2012,Year,1979,6
DataType,International Panel Data,Year,1979,6
Year,2011,Year,1979,6
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1979,6
DataType,Panel/Longitudinal Surveys,Year,1990,6
DataType,Others,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",6
Year,2016,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",6
DataType,No dataset,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",6
Type,Not_specified,Year,2017,6
Measure,Decomposition / Structural Approaches,Measure,Absolute Mobility Measures,6
Measure,Transition Matrix / Probability Measures,Measure,Absolute Mobility Measures,6
RqType,Perceptions of Mobility and Attitudes,DataType,Linked Administrative Data,6
Year,2006,DataType,Linked Administrative Data,6
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",RqType,Intergenerational Wealth Mobility and Inheritance,6
Year,2010,RqType,Intergenerational Wealth Mobility and Inheritance,6
Year,1998,Type,empirical,6
DataType,Panel/Longitudinal Surveys,Year,1998,6
RqType,Empirical Estimates and Determinants,Year,1998,6
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Regression‐based Measures,6
RqType,Others,DataType,No dataset,6
DataType,Natural/Experimental Data,DataType,No dataset,6
DataType,Opportunity Atlas,DataType,No dataset,6
RqType,"Policy, Institutional, and Geographic Impacts",Type,Not_specified,6
DataType,Linked Administrative Data,Year,1980,6
DataType,Panel/Longitudinal Surveys,Year,1980,6
Year,2020,Year,2009,6
Year,2025,Measure,Transition Matrix / Probability Measures,6
DataType,University/Institution Data,DataType,Panel/Longitudinal Surveys,6
Measure,Decomposition / Structural Approaches,RqType,Measurement and Methodological Advances,6
Type,Not_specified,RqType,Measurement and Methodological Advances,6
Measure,Others,Year,2016,6
DataType,Administrative/Registry Data,Year,2012,6
Year,2022,Year,2012,6
RqType,"Policy, Institutional, and Geographic Impacts",Year,2012,6
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,Theoretical and Structural Models,6
DataType,Others,RqType,Theoretical and Structural Models,6
Measure,Decomposition / Structural Approaches,Year,2017,5
DataType,Others,Year,2017,5
DataType,Big Data,Measure,Absolute Mobility Measures,5
Year,2018,Measure,Absolute Mobility Measures,5
Year,2005,DataType,Linked Administrative Data,5
Year,1998,DataType,No dataset,5
RqType,Perceptions of Mobility and Attitudes,DataType,No dataset,5
Measure,Multigenerational Measures,DataType,No dataset,5
Year,2014,Type,Not_specified,5
Year,2011,Type,Not_specified,5
RqType,Theoretical and Structural Models,Type,Not_specified,5
DataType,Others,Type,Not_specified,5
Year,2021,Type,Not_specified,5
Measure,Transition Matrix / Probability Measures,Year,1980,5
DataType,International Panel Data,Year,2009,5
Year,2017,Year,2009,5
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2009,5
Year,2008,Measure,Transition Matrix / Probability Measures,5
DataType,University/Institution Data,Measure,Transition Matrix / Probability Measures,5
RqType,Perceptions of Mobility and Attitudes,Measure,Transition Matrix / Probability Measures,5
DataType,Opportunity Atlas,Measure,Transition Matrix / Probability Measures,5
Year,1998,DataType,Panel/Longitudinal Surveys,5
DataType,Archival/Historical Data,RqType,Measurement and Methodological Advances,5
RqType,"Policy, Institutional, and Geographic Impacts",RqType,Measurement and Methodological Advances,5
DataType,Panel/Longitudinal Surveys,Year,2020,5
DataType,National Survey Data,DataType,Others,5
Year,2024,DataType,Others,5
Measure,Non‐parametric Approaches,Year,2016,5
Year,2014,Year,2012,5
Year,2016,Year,2012,5
DataType,Linked Administrative Data,Year,2012,5
Year,2021,Measure,Others,5
DataType,National Survey Data,Measure,Others,5
Measure,Transition Matrix / Probability Measures,Measure,Others,5
Year,2007,RqType,Theoretical and Structural Models,5
Year,2006,RqType,Theoretical and Structural Models,5
DataType,Opportunity Atlas,RqType,Theoretical and Structural Models,5
DataType,Archival/Historical Data,Type,theoretical,5
Measure,Absolute Mobility Measures,Year,2021,5
RqType,Measurement and Methodological Advances,Year,2021,5
Year,2023,Year,2021,5
DataType,Opportunity Atlas,Year,2019,5
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2019,5
RqType,Theoretical and Structural Models,DataType,National Survey Data,5
DataType,International Panel Data,DataType,National Survey Data,5
Year,2007,DataType,National Survey Data,5
RqType,"Policy, Institutional, and Geographic Impacts",Year,2006,5
Year,2008,Year,2006,5
Year,2013,Year,2006,5
Year,2017,Year,2006,5
Year,2021,Year,2006,5
DataType,No dataset,Year,2022,5
Type,Not_specified,Year,2022,5
DataType,International Panel Data,Year,2005,5
Year,2009,Year,2005,5
Year,2006,Year,2005,5
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2005,5
Year,2008,Year,2005,5
Year,2008,DataType,Administrative/Registry Data,5
Type,theoretical,RqType,"Policy, Institutional, and Geographic Impacts",5
Year,2025,RqType,"Policy, Institutional, and Geographic Impacts",5
Measure,Others,RqType,"Policy, Institutional, and Geographic Impacts",5
Type,theoretical,Year,2002,5
Measure,Non‐parametric Approaches,Year,2002,5
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2002,5
DataType,International Panel Data,Year,2002,5
DataType,Panel/Longitudinal Surveys,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",5
RqType,Theoretical and Structural Models,Year,2018,5
Measure,Others,Year,2018,5
DataType,Natural/Experimental Data,Measure,Decomposition / Structural Approaches,5
Measure,Non‐parametric Approaches,Measure,Decomposition / Structural Approaches,5
Year,2006,Measure,Decomposition / Structural Approaches,5
DataType,Opportunity Atlas,Measure,Decomposition / Structural Approaches,5
RqType,Perceptions of Mobility and Attitudes,Year,2014,5
Year,2025,Year,2014,5
Year,2017,DataType,International Panel Data,5
DataType,Administrative/Registry Data,Year,2008,5
Year,2011,Measure,Rank‐based Measures,5
RqType,Perceptions of Mobility and Attitudes,Measure,Rank‐based Measures,5
Year,2025,Measure,Rank‐based Measures,5
Measure,Absolute Mobility Measures,Year,2015,5
Year,2018,DataType,Archival/Historical Data,5
Year,2020,DataType,Archival/Historical Data,5
Measure,Multigenerational Measures,DataType,Archival/Historical Data,5
Measure,Transition Matrix / Probability Measures,Year,2007,5
DataType,Archival/Historical Data,Year,2007,5
Year,2022,Year,2007,5
Measure,Decomposition / Structural Approaches,Year,2007,5
DataType,Panel/Longitudinal Surveys,Year,2023,5
Year,2021,Measure,Non‐parametric Approaches,5
DataType,National Survey Data,Year,2003,5
Measure,Transition Matrix / Probability Measures,Year,2003,5
Year,2019,Year,2003,5
DataType,No dataset,Year,2003,5
Type,theoretical,Year,2011,5
Year,2024,Year,2011,5
Year,2023,Year,2011,5
Year,2012,Year,2011,5
DataType,Administrative/Registry Data,Year,2000,5
Year,2011,Year,2000,5
DataType,No dataset,Year,2000,5
Year,2019,Year,2000,5
RqType,Measurement and Methodological Advances,Year,2010,5
Measure,Decomposition / Structural Approaches,Year,2010,5
Year,2019,Year,2010,5
Year,2023,Year,2010,5
Measure,Transition Matrix / Probability Measures,Year,1992,5
DataType,Administrative/Registry Data,Year,1992,5
Year,2015,Year,1979,5
Measure,Non‐parametric Approaches,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",5
Year,2014,Year,1999,5
Year,2013,Year,1999,5
DataType,International Panel Data,Year,2011,4
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2011,4
Measure,Decomposition / Structural Approaches,Year,2000,4
Measure,Absolute Mobility Measures,Year,2010,4
Type,Not_specified,Year,2010,4
Type,theoretical,Year,2010,4
Year,2013,Year,2010,4
Year,2024,Year,2010,4
Year,2014,Year,2010,4
Year,2015,Year,2010,4
DataType,Linked Administrative Data,Year,2010,4
DataType,No dataset,Year,1992,4
Year,2007,Year,1979,4
DataType,Others,Year,1979,4
DataType,National Survey Data,Year,1990,4
DataType,Administrative/Registry Data,Year,1990,4
Year,2014,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",4
RqType,"Policy, Institutional, and Geographic Impacts",RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",4
DataType,Opportunity Atlas,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",4
Year,2015,Year,1999,4
Year,2008,Year,1999,4
Type,theoretical,Year,1999,4
RqType,"Policy, Institutional, and Geographic Impacts",Year,1999,4
Year,2018,Year,1999,4
Year,2022,Year,1999,4
Year,2023,Year,1999,4
Year,2025,Measure,Absolute Mobility Measures,4
Year,2007,DataType,Linked Administrative Data,4
DataType,University/Institution Data,DataType,Linked Administrative Data,4
Year,2012,DataType,Linked Administrative Data,4
DataType,Natural/Experimental Data,RqType,Intergenerational Wealth Mobility and Inheritance,4
Year,2002,RqType,Intergenerational Wealth Mobility and Inheritance,4
DataType,National Survey Data,Year,1998,4
Year,2011,Year,1998,4
DataType,No dataset,Year,1998,4
Year,2003,Measure,Regression‐based Measures,4
Year,2002,RqType,Empirical Estimates and Determinants,4
Year,2015,Type,Not_specified,4
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Type,Not_specified,4
Measure,Decomposition / Structural Approaches,Type,Not_specified,4
DataType,Administrative/Registry Data,Year,1980,4
Year,2010,Year,2009,4
Year,2012,Year,2009,4
Type,Not_specified,Year,2009,4
Year,2010,Measure,Transition Matrix / Probability Measures,4
Year,2007,Measure,Transition Matrix / Probability Measures,4
Year,2012,Measure,Transition Matrix / Probability Measures,4
Measure,Multigenerational Measures,Measure,Transition Matrix / Probability Measures,4
Year,2009,DataType,Panel/Longitudinal Surveys,4
Year,2002,DataType,Panel/Longitudinal Surveys,4
DataType,Natural/Experimental Data,DataType,Panel/Longitudinal Surveys,4
Type,theoretical,RqType,Measurement and Methodological Advances,4
Year,2012,RqType,Measurement and Methodological Advances,4
Year,2016,RqType,Measurement and Methodological Advances,4
Year,2021,Year,2020,4
RqType,Theoretical and Structural Models,Year,2020,4
RqType,"Policy, Institutional, and Geographic Impacts",Year,2020,4
Year,2019,DataType,Others,4
DataType,No dataset,DataType,Others,4
Year,2020,DataType,Others,4
Measure,Transition Matrix / Probability Measures,DataType,Others,4
Type,theoretical,Year,2016,4
Type,Not_specified,Year,2016,4
Measure,Absolute Mobility Measures,Year,2024,4
DataType,Administrative/Registry Data,Year,2024,4
Measure,Rank‐based Measures,Year,2024,4
Measure,Absolute Mobility Measures,Year,2012,4
Year,2023,Year,2012,4
Measure,Transition Matrix / Probability Measures,Year,2012,4
Year,2017,Year,2012,4
Year,2020,Year,2012,4
Year,2024,Year,2012,4
Type,theoretical,Measure,Others,4
DataType,Archival/Historical Data,Measure,Others,4
Year,2018,Measure,Others,4
Measure,Decomposition / Structural Approaches,Measure,Others,4
Year,2010,RqType,Theoretical and Structural Models,4
Measure,Non‐parametric Approaches,RqType,Theoretical and Structural Models,4
Year,2009,Type,theoretical,4
Year,2008,Type,theoretical,4
Measure,Non‐parametric Approaches,Type,theoretical,4
DataType,Natural/Experimental Data,Type,theoretical,4
Measure,Multigenerational Measures,Type,theoretical,4
RqType,Others,Type,theoretical,4
Measure,Transition Matrix / Probability Measures,Year,2021,4
DataType,Others,Year,2019,4
Type,theoretical,Year,2019,4
Year,2018,DataType,National Survey Data,4
Year,2010,DataType,National Survey Data,4
Year,2009,DataType,National Survey Data,4
DataType,Archival/Historical Data,Year,2006,4
Measure,Non‐parametric Approaches,Year,2006,4
RqType,Perceptions of Mobility and Attitudes,Year,2006,4
Year,2012,Year,2006,4
Year,2022,Year,2006,4
Year,2024,Year,2006,4
Measure,Others,Year,2022,4
Type,empirical,DataType,Big Data,4
Measure,Absolute Mobility Measures,Year,2005,4
Measure,Multigenerational Measures,DataType,Administrative/Registry Data,4
Year,2007,DataType,Administrative/Registry Data,4
DataType,Big Data,RqType,"Policy, Institutional, and Geographic Impacts",4
RqType,Theoretical and Structural Models,RqType,"Policy, Institutional, and Geographic Impacts",4
Year,2009,Year,2002,4
RqType,Perceptions of Mobility and Attitudes,Year,2002,4
RqType,Theoretical and Structural Models,Year,2002,4
Measure,Absolute Mobility Measures,Year,2002,4
Year,2010,Year,2002,4
DataType,Archival/Historical Data,Year,2002,4
DataType,University/Institution Data,Year,2013,4
DataType,Big Data,Year,2018,4
DataType,Natural/Experimental Data,Year,2018,4
Year,2010,Measure,Decomposition / Structural Approaches,4
Year,2011,Year,2008,4
DataType,University/Institution Data,Measure,Rank‐based Measures,4
DataType,Opportunity Atlas,Measure,Rank‐based Measures,4
Year,2013,Measure,Rank‐based Measures,4
Type,Not_specified,Year,2015,4
Year,2016,Year,2015,4
Measure,Decomposition / Structural Approaches,Year,2015,4
DataType,Linked Administrative Data,Year,2015,4
Year,2023,Year,2015,4
Year,2024,Year,2015,4
DataType,Others,Year,2015,4
Measure,Non‐parametric Approaches,Year,2015,4
Measure,Others,Year,2015,4
Type,empirical,RqType,Perceptions of Mobility and Attitudes,4
Type,Not_specified,DataType,Archival/Historical Data,4
Type,theoretical,Year,2007,4
Year,2017,Year,2007,4
DataType,Administrative/Registry Data,Year,2023,4
Measure,Others,Year,2023,4
Year,2019,Measure,Non‐parametric Approaches,4
Year,2020,Measure,Non‐parametric Approaches,4
Measure,Rank‐based Measures,Measure,Non‐parametric Approaches,4
DataType,Panel/Longitudinal Surveys,Year,2003,4
Year,1998,Type,theoretical,3
Year,2002,Type,theoretical,3
DataType,Opportunity Atlas,Type,theoretical,3
RqType,Perceptions of Mobility and Attitudes,Type,theoretical,3
Measure,Decomposition / Structural Approaches,Year,2021,3
DataType,Others,Year,2021,3
RqType,"Policy, Institutional, and Geographic Impacts",Year,2021,3
DataType,National Survey Data,Year,2021,3
DataType,Big Data,Year,2019,3
Type,Not_specified,DataType,National Survey Data,3
Type,theoretical,DataType,National Survey Data,3
Year,2013,DataType,National Survey Data,3
Year,2008,DataType,National Survey Data,3
Measure,Absolute Mobility Measures,Year,2006,3
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2006,3
DataType,Others,Year,2006,3
DataType,International Panel Data,Year,2006,3
Year,2025,Year,2022,3
DataType,Others,Year,2022,3
Measure,Regression‐based Measures,DataType,Big Data,3
RqType,Empirical Estimates and Determinants,DataType,Big Data,3
DataType,Others,Year,2005,3
RqType,Others,Year,2005,3
DataType,Opportunity Atlas,Year,2005,3
RqType,Others,DataType,Administrative/Registry Data,3
Year,2006,DataType,Administrative/Registry Data,3
Year,2009,DataType,Administrative/Registry Data,3
DataType,Opportunity Atlas,DataType,Administrative/Registry Data,3
DataType,International Panel Data,RqType,"Policy, Institutional, and Geographic Impacts",3
DataType,Natural/Experimental Data,RqType,"Policy, Institutional, and Geographic Impacts",3
Year,2014,RqType,"Policy, Institutional, and Geographic Impacts",3
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,"Policy, Institutional, and Geographic Impacts",3
DataType,Opportunity Atlas,RqType,"Policy, Institutional, and Geographic Impacts",3
Type,empirical,DataType,Natural/Experimental Data,3
Measure,Regression‐based Measures,DataType,Natural/Experimental Data,3
DataType,Panel/Longitudinal Surveys,DataType,Natural/Experimental Data,3
Measure,Absolute Mobility Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",3
Year,2022,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",3
Measure,Non‐parametric Approaches,Year,2013,3
DataType,Archival/Historical Data,Year,2013,3
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2018,3
Year,2025,Year,2018,3
DataType,International Panel Data,Year,2018,3
DataType,University/Institution Data,Measure,Decomposition / Structural Approaches,3
Year,2005,Measure,Decomposition / Structural Approaches,3
Year,1998,Measure,Decomposition / Structural Approaches,3
Year,2002,Measure,Decomposition / Structural Approaches,3
RqType,Perceptions of Mobility and Attitudes,Measure,Decomposition / Structural Approaches,3
DataType,University/Institution Data,Year,2014,3
DataType,Opportunity Atlas,Year,2014,3
Measure,Non‐parametric Approaches,DataType,International Panel Data,3
DataType,Archival/Historical Data,DataType,International Panel Data,3
DataType,University/Institution Data,DataType,International Panel Data,3
Measure,Absolute Mobility Measures,Year,2008,3
Year,2013,Year,2008,3
Year,2015,Year,2008,3
Year,2021,Year,2008,3
Measure,Decomposition / Structural Approaches,Year,2008,3
Type,empirical,Measure,Multigenerational Measures,3
RqType,Theoretical and Structural Models,Year,2015,3
Measure,Absolute Mobility Measures,RqType,Perceptions of Mobility and Attitudes,3
Year,2016,DataType,Archival/Historical Data,3
Year,2021,DataType,Archival/Historical Data,3
Year,2023,DataType,Archival/Historical Data,3
DataType,National Survey Data,DataType,Archival/Historical Data,3
DataType,Administrative/Registry Data,DataType,Archival/Historical Data,3
RqType,Theoretical and Structural Models,Year,2007,3
Year,2021,Year,2007,3
Year,2013,Year,2007,3
DataType,International Panel Data,Year,2007,3
Year,2009,Year,2007,3
RqType,Others,Year,2007,3
Year,2024,Year,2007,3
Year,2020,Year,2007,3
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2023,3
RqType,Measurement and Methodological Advances,Year,2023,3
Measure,Absolute Mobility Measures,Year,2023,3
DataType,National Survey Data,Measure,Non‐parametric Approaches,3
Year,2016,Measure,Non‐parametric Approaches,3
DataType,Administrative/Registry Data,Measure,Non‐parametric Approaches,3
Measure,Others,Measure,Non‐parametric Approaches,3
DataType,Linked Administrative Data,Year,2003,3
Year,2014,Year,2003,3
Type,empirical,Year,1986,3
Measure,Regression‐based Measures,Year,1986,3
DataType,University/Institution Data,Year,2011,3
Measure,Transition Matrix / Probability Measures,Year,2000,3
Measure,Non‐parametric Approaches,Year,2000,3
Year,2015,Year,2000,3
Measure,Absolute Mobility Measures,Year,2000,3
Year,2022,Year,2000,3
Year,2023,Year,2000,3
Year,2020,Year,2010,3
RqType,"Policy, Institutional, and Geographic Impacts",Year,2010,3
DataType,International Panel Data,Year,2010,3
Year,1998,Year,1992,3
Year,2005,Year,1992,3
DataType,Archival/Historical Data,Year,1979,3
Year,2005,Year,1979,3
Year,1998,Year,1979,3
Year,2010,Year,1979,3
Year,2002,Year,1979,3
Measure,Non‐parametric Approaches,Year,1979,3
Year,2017,Year,1979,3
DataType,Linked Administrative Data,Year,1990,3
Measure,Decomposition / Structural Approaches,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",3
Year,2016,Year,1999,3
Year,2006,Year,1999,3
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1999,3
Year,2011,Year,1999,3
DataType,International Panel Data,Year,1999,3
Measure,Decomposition / Structural Approaches,Year,1999,3
Measure,Non‐parametric Approaches,Year,1999,3
Measure,Absolute Mobility Measures,Year,1999,3
Type,theoretical,Year,2017,3
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,Linked Administrative Data,3
Year,2002,DataType,Linked Administrative Data,3
DataType,Big Data,RqType,Intergenerational Wealth Mobility and Inheritance,3
Year,2025,RqType,Intergenerational Wealth Mobility and Inheritance,3
RqType,Others,RqType,Intergenerational Wealth Mobility and Inheritance,3
Year,2003,Type,empirical,3
DataType,Linked Administrative Data,Year,1998,3
Measure,Transition Matrix / Probability Measures,Year,1998,3
Year,2016,Year,1998,3
Year,1999,Measure,Regression‐based Measures,3
Year,2025,DataType,No dataset,3
Year,2002,DataType,No dataset,3
DataType,University/Institution Data,DataType,No dataset,3
Year,1999,RqType,Empirical Estimates and Determinants,3
Year,2013,Type,Not_specified,3
Year,2016,Type,Not_specified,3
Year,2025,Type,Not_specified,3
Year,2017,Type,Not_specified,3
Measure,Non‐parametric Approaches,Type,Not_specified,3
Measure,Absolute Mobility Measures,Year,1980,3
Year,2019,Year,1980,3
Type,theoretical,Year,2009,3
DataType,Archival/Historical Data,Year,2009,3
DataType,Big Data,Measure,Transition Matrix / Probability Measures,3
Measure,Multigenerational Measures,DataType,Panel/Longitudinal Surveys,3
Measure,Multigenerational Measures,RqType,Measurement and Methodological Advances,3
RqType,Others,RqType,Measurement and Methodological Advances,3
DataType,International Panel Data,RqType,Measurement and Methodological Advances,3
RqType,Theoretical and Structural Models,RqType,Measurement and Methodological Advances,3
Measure,Decomposition / Structural Approaches,Year,2020,3
DataType,Others,Year,2020,3
Measure,Others,Year,2020,3
DataType,International Panel Data,Year,2016,3
RqType,"Policy, Institutional, and Geographic Impacts",Year,2016,3
DataType,Linked Administrative Data,Year,2024,3
RqType,Measurement and Methodological Advances,Year,2024,3
RqType,Intergenerational Wealth Mobility and Inheritance,Year,2024,3
Year,2013,Year,2012,3
Type,theoretical,Year,2012,3
Year,2018,Year,2012,3
