id,method_cat,method_type
539,1,Intergenerational Elasticity (IGE) for income and education
540,2,rank‐rank analysis
541,6,"The paper uses a structural, model‐based counterfactual approach (an extended canonical model of intergenerational human capital investment) to quantify how migration and related policy changes affect income mobility."
542,1,"Intergenerational Income Persistence, typically estimated via Regression‐based measures like the Intergenerational Elasticity (IGE) along with a structural decomposition of parental contributions"
543,1,Intergenerational Income Elasticity (IGE)
544,3,Transition Matrix (with complementary analyses using regression methods such as Probit/2SLS and a Bowles‐Gintis decomposition for structural insights)
545,1,"The paper reports a regression‐based measure – namely, an estimate of the intergenerational elasticity (IGE) of permanent income and education – and further extends this with a multigenerational (grandparent‐included) latent factor model, which conceptually falls under multigenerational measures (category 5)."
546,1,"Fixed-effects regression coefficients estimating the association between having a privileged classroom friend and adult income, including an interaction with parental income."
547,1,"Intergenerational Elasticity (IGE, a regression‐based measure) and Rank coefficient (a rank‐based measure)"
548,6,Decomposition measure that quantifies the contribution (share) of career choices (occupations and fields of study) to the intergenerational persistence of income.
549,1,Intergenerational Elasticity (IGE)
550,1,Intergenerational Earnings Elasticity (IGE) estimated using a multiverse analysis approach
551,2,Intergenerational Income Rank Mobility
552,1,Regression‐based measure (multiple linear regression for intergenerational income elasticity)
553,1,Intergenerational Income Elasticity (IGE)
554,1,"The paper primarily employs regression‐based measures, namely the intergenerational earnings elasticity (IGE) and household income elasticity. In addition, it uses rank‐based measures (rank‐rank slopes) and transition matrix (probability measures) to assess intergenerational mobility."
555,4,"Absolute Mobility Measures – comparing vertical shifts in education, job status, and income between generations (vertical social mobility)"
556,2,The paper employs a set of mobility estimators that include rank‐based measures – as seen in their discussion of rank‐based estimators and the impact of the choice of ranking distribution – alongside measures that capture absolute mobility (i.e. quantifying actual income changes rather than only relative positions).
557,2,"Rank‐based Measures (e.g., intergenerational persistence quantified via expected income rank) alongside transition/probability measures (e.g., the probability of a child born in the bottom 20% reaching the top 20%)."
558,2,"The study relies on rank‐based measures, specifically using the intergenerational rank correlation in housing wealth as an indicator of intergenerational wealth mobility."
559,2,Reduction in adult income rank percentile associated with exposure to left behind places
560,1,"The paper uses a regression‐based measure, estimating a sensitivity (or elasticity) of children's educational attainment to parental income (an Intergenerational Elasticity measure)."
561,2,"The paper reports rank‐based mobility measures—specifically, it estimates the expected child income percentile (e.g. children of parents at the 25th percentile achieve 47 or 51 percentiles), as well as an absolute upward mobility measure (the difference relative to the parent's percentile)."
562,2,rank-rank slope (intergenerational income mobility measured as the correlation between household income rank at age 15-19 and own income rank at age 29-30)
563,1,"A regression‐based measure, for example an intergenerational elasticity (IGE) style estimate, comparing parental and offspring income outcomes"
564,2,Rank‐Rank Correlation
565,3,"Transition Matrix / Probability Measures (e.g., exit probabilities from income quintiles)"
566,1,Intergenerational Elasticity (IGE)
567,1,Intergenerational Elasticity (IGE) – a regression‐based measure of intergenerational persistence in wealth and earnings.
568,1,Intergenerational Income Elasticity (IGE)
569,3,Income quintile‐based intergenerational mobility measured via transition matrices (i.e. analyzing transitions between parental and child income quintiles)
570,1,Regression‐based Measure (upward intergenerational income mobility)
571,5,Multigenerational mobility measure based on a latent factor model of wealth transmission
572,1,Intergenerational Elasticity (IGE)
573,1,Intergenerational Income Elasticity (IGE)
574,1,"Regression-based measures, likely estimating intergenerational elasticity (IGE) using lifetime versus snapshot parental income measures"
575,8,The paper reports estimates of intergenerational mobility rates (e.g. the percentage of upward mobility among students in elite public colleges) and develops a sufficient statistic approach to evaluate policy impacts on future earnings. These measures do not neatly fall into the conventional categories.
576,1,A regression‐based measure estimating the marginal effect of parental income rank on the probability of obtaining an A-Level degree.
577,1,Empirical elasticity linking parental credit usage to child's labor earnings (akin to an intergenerational elasticity measure)
578,1,Intergenerational Earnings Elasticity (IGE)
579,2,Intergenerational Rank Correlation
580,1,Logistic regression estimates (predicted owner-occupation rates)
581,6,Structural model measure capturing the transitional dynamics of intergenerational mobility influenced by population composition and transfers per child
582,1,Odds ratios from regression models predicting upward and downward income mobility
583,1,Intergenerational Income Elasticity (IGE) and innovative Rank Mobility Measures
584,1,Intergenerational Elasticity (IGE)
585,4,Absolute Income Mobility
586,8,"The paper does not use a typical formal mobility measure (such as an intergenerational elasticity) but rather employs an indicator of income mobility derived from the Global Database of Intergenerational Mobility (GDIM) and applies principal components analysis combined with hierarchical clustering. In other words, it constructs a mobility measure—also highlighting a notion of 'hidden income mobility'—using a clustering technique rather than a standard regression‐based, rank‐based, or transition matrix approach."
587,4,"The paper examines two measures: absolute mobility, defined in absolute dollar terms (Absolute Mobility Measures, category 4), and relative mobility, defined using individuals’ relative ranks (Rank‐based Measures, category 2)."
588,1,"The paper estimates the effect of adolescent financial disadvantage on later income poverty using regression‐based approaches (specifically a multilevel regression analysis yielding effect estimates, such as odds ratios or marginal effects, linking childhood disadvantage to adulthood poverty risks)."
589,1,"The study uses regression‐based estimates—comparing sibling pairs—to quantify the effect of migration on occupational income, which serves as a measure of intergenerational mobility."
590,1,The study uses a quasi‐natural experimental design to estimate a regression‐based measure of intergenerational mobility—likely quantifying the effect of bank competition on the mobility gradient (such as an Intergenerational Elasticity type parameter) among individuals from poorer families.
591,1,"Chetty‐Hendren county intergenerational mobility measure (a regression‐based estimate, typically derived from rank‐rank slope regressions)"
592,2,Intergenerational wealth rank correlations
593,1,Intergenerational Income Elasticity (IGE)
594,2,The paper uses a rank‐based measure—it estimates how variations in exposure time affect adult outcomes measured in income rank (including comparisons between sons/fathers and daughters/mothers)
595,8,"The paper does not compute a conventional elasticity or rank‐based metric. Instead, it uses machine learning methods—specifically a penalized regression (Rigorous LASSO), Random Forest, and Gradient Boosting along with Shapley value analysis—to predict intergenerational income and education mobility. This approach does not fall neatly into any of the standard categories, so it is best classified as 'Others.'"
596,3,Child's probability of reaching the top income quintile (transition probability measure)
597,1,Regression-based measure: estimated regression coefficients from a multilevel model linking census tract and city-level sprawl (measured in standard deviations) to upward economic mobility (measured in standard deviations)
598,1,Intergenerational Income Elasticity (IGE)
599,8,Reachability mobility (copula‐based measurement of the dependence structure between intergenerational incomes)
600,8,The paper uses multiple measures: (1) Regression‐based Measures – intergenerational income elasticity (computed via two‐sample 2SLS) and intergenerational education correlation; (2) Rank‐based Measures – rank‐rank slope; (3) Transition Matrix/Probability Measures – bottom‐to‐top income level probability and low‐to‐high education level probability; and (4) Absolute Mobility Measures – the share of individuals earning more than (or attaining a higher education than) their fathers.
601,1,"Intergenerational Elasticity (IGE), estimated through the dependence (regression-based measure) between children’s and parents’ earnings."
602,1,"The paper appears to use regression‐based measures of intergenerational income mobility (for example, an estimation analogous to the intergenerational elasticity of income) to quantify upward income mobility."
603,6,"The paper uses a decomposition approach to intergenerational income persistence—essentially decomposing regression‐based estimates (such as the intergenerational income elasticity) into the contributions of employment, education, and capital channels."
604,1,Intergenerational Elasticity (IGE)
605,2,"The paper uses an income rank‐rank relationship measure (i.e., a rank‐based slope) to assess intergenerational mobility, in addition to examining occupational persistence."
606,2,Conditional Rank-Rank Regression coefficient (and its difference with the unconditional variant)
607,4,The paper uses place‐based estimates of economic mobility—specifically measures of children’s upward mobility (absolute mobility outcomes) as derived from Opportunity Insights data.
608,2,"Rank‐rank regression to capture relative social mobility. The paper also reports absolute mobility, but the key estimation method used is rank‐rank regression."
609,1,"The paper appears to use a regression‐based measure of intergenerational mobility, which is typically estimated as an Intergenerational Elasticity (IGE) (i.e., measuring how parent income correlates with offspring income) even though the abstract does not specify the exact variant."
610,1,"Treatment effect estimates from a regression‐based framework on long-run earnings, wealth, and upward mobility outcomes."
611,1,"Regression‐based Measures – likely estimating an intergenerational elasticity (IGE) of wealth, where inherited wealth is used to predict class mobility."
612,1,"Intergenerational Earnings Elasticity (IGE) estimated via regression, with a decomposition of elasticities by educational attainment"
613,1,"Iterated regression-based measures (e.g., using the intergenerational elasticity, IGE, in a repeated or iterated manner)"
614,7,Local persistence coefficients estimated via a non‐parametric varying coefficient model
615,6,The paper employs a structural/decomposition approach by extending and numerically simulating a theoretical model to derive a measure of intergenerational mobility (a model‐implied mobility measure) based on schooling regimes.
616,6,Structural approach – a model‐based measure of intergenerational mobility derived from equilibrium outcomes (e.g. human capital accumulation and wealth distribution effects from the contract model)
