id,rq_cat,rq_type
306,4,"Does marketization reform weaken the intergenerational inheritance effect in Chinese families, thereby promoting greater intergenerational mobility?"
307,2,"The research question investigates the extent to which adult income and occupation are determined by personal talent and ambition versus inherited family background, essentially examining the empirical relationship between individuals' outcomes and their childhood family circumstances."
308,2,"The paper empirically investigates how rural intergenerational mobility is influenced by city size—specifically, it asks: How does the urban population size of affiliated cities affect rural income mobility in China, and to what extent is this relationship driven by the availability of secondary and tertiary education (including differential returns to high school education) for rural youth?"
309,2,"The paper primarily focuses on providing empirical estimates of intergenerational mobility using the PSID. It examines questions such as: ""What do empirical estimates from a long panel study like the PSID reveal about intergenerational mobility in the U.S., including dimensions such as occupation, wealth, education, consumption, health, and how do these estimates vary by demographic factors like gender, race, and region?"""
310,1,"The paper aims to address a methodological question: How can we develop a new mobility table that scales each quintile by its corresponding income spread, thereby allowing for a joint visualization of income inequality and intergenerational mobility? This falls under Measurement and Methodological Advances."
311,1,"The paper investigates methodological advances by addressing how to accurately estimate the intergenerational income elasticity (IGE) of the expectation. In particular, it explores how bracketing strategies using instruments such as the Poisson pseudomaximum likelihood and generalized method of moments IV estimator can overcome the estimation challenges associated with short-run income measures and error-in-variables models."
312,2,"The paper empirically investigates how intergenerational income persistence varies across the distribution of sons' earnings – particularly examining whether parental income's effect on earnings follows a J-shaped pattern and what roles early skills, educational attainment, and early labour market attachment play in shaping this distributional relationship."
313,2,"The paper empirically investigates the extent of income inequality and capability deprivation, examining the driving forces behind the intergenerational transmission of social and economic status in two birth cohorts across Germany and the United States. Essentially, it asks: What are the empirical estimates and determinants of intergenerational income mobility, and how do individual/family characteristics and childhood capability deprivations contribute to this transmission?"
314,1,"The paper asks how the conventional measure of intergenerational elasticity (IGE) should be redefined to correctly capture the geometric mean of children's income, addressing misinterpretations, selection bias, and issues in disentangling the channels of economic status transmission. This falls under measurement and methodological advances."
315,2,"The paper investigates the extent and determinants of intergenerational social mobility in the Northern region of Malaysia—specifically, whether rural individuals can escape poverty through upward income class movement, and how this mobility compares with that in other countries."
316,2,"The paper asks empirical questions such as: What is the causal impact of childhood neighborhood exposure on intergenerational mobility outcomes (e.g., earnings, college attendance, teenage birth rates, marriage rates)? How can variation in neighborhood quality and geographic sorting explain differences in intergenerational mobility across U.S. counties?"
317,4,"The paper develops a new estimator for dynastic life-cycle discrete choice models and then employs the model to conduct counterfactual simulations investigating the role of Nature versus Nurture in intergenerational income mobility–specifically, how much of the immobility at the bottom of the income distribution is due to inherent characteristics versus economic decisions and constraints."
318,2,"The paper aimed to answer empirical questions regarding the determinants of upward intergenerational income mobility. Specifically, it investigated: “How do parental income levels and college completion status affect the probability of upward mobility, and what are the differences in mobility outcomes by gender, race/ethnicity, type of major, institution type, and financial aid type among former college students?”"
319,2,"The paper empirically investigates intergenerational income mobility in Pakistan by estimating the elasticity of income across generations. It seeks to answer questions like: What is the extent of income inequality persistence between generations, and how do factors such as parents' socio-economic status, ethnicity, region, and gender affect this mobility?"
320,2,"The paper investigates how intergenerational income mobility differs across US regions that were originally populated by various European immigrant groups by comparing local mobility outcomes to those in the immigrants' countries of origin. This research question aims to empirically estimate and determine whether historical, community-level factors relate to the observed variations in income equality and mobility—including among the black population—thus situating the study within empirical estimates and determinants of mobility."
321,2,"The paper primarily asks: 'Why do some communities do better or worse than would be expected from first generation incomes alone?' It investigates the empirical determinants of intergenerational income mobility by examining the role of educational mobility, culture, and the migratory context in shaping second generation success."
322,4,The paper asks: 'What is the extent of intergenerational income mobility in China (as measured by intergenerational income elasticity) and to what extent do factors such as the father’s investments in a son’s education and occupation contribute to the intergenerational transmission of income?'
323,2,"The paper empirically investigates how intergenerational mobility—as a proxy for equality of opportunity—mediates the relationship between income inequality and economic growth. In other words, it asks: 'How does lower intergenerational mobility amplify the negative effects of income inequality on economic growth?'"
324,2,The paper primarily addresses the empirical estimates of income mobility in Korea by examining how previous studies have measured income mobility along two dimensions—absolute vs. relative and within-generation vs. between-generations—and by questioning whether intergenerational relative income mobility is empirically deteriorating. This research question falls under the category of Empirical Estimates and Determinants.
325,3,"What is the effect of government spending during childhood on intergenerational income mobility, and does government spending moderate the relationship between income inequality and intergenerational income mobility?"
326,2,"The research question focuses on empirical estimates of intergenerational mobility using administrative data and measuring outcomes like the intergenerational elasticity (IGE) and rank‐rank slopes, as well as examining regional variations (including the effects of events like the mining boom) on upward and downward mobility."
327,4,"The paper primarily investigates intergenerational wealth mobility by estimating wealth mobility in the Cape Colony during the eighteenth century and examining the mechanisms that explain the observed outcomes. The research question can be framed as: 'What were the patterns of intergenerational wealth mobility in the Cape Colony over the eighteenth century, and what mechanisms explain these patterns?'"
328,1,"The paper’s research questions focus on measurement and methodological advances. In the first two chapters the questions address whether and how traditional estimates of intergenerational persistence (e.g., using earnings as a single measure) exhibit attenuation bias compared to estimates that incorporate multiple measures of status, including comparisons across countries and between genders. The third chapter examines the advantages and drawbacks of different teacher evaluation models (MRM versus URM) used in EVAAS to assess teacher effectiveness through simulation studies."
329,5,"The paper investigates how racial differences shape the transmission of household wealth across generations. In particular, it asks: “How do intergenerational movements in wealth differ between black and white families, and to what extent does this differential mobility contribute to the persistent racial wealth gap?”"
330,2,"The paper asks: Do punishing and toxic neighborhood environments (characterized by violence, incarceration, and lead exposure) independently predict intergenerational social mobility outcomes – such as income mobility, adult incarceration, and teenage birth – among poor black and white children, even after accounting for traditional socioeconomic factors like concentrated poverty and racial composition?"
331,6,"The paper examines the causal relationship between intergenerational income mobility and non‐income outcomes—in this case, adult health (self-rated health, smoking, alcohol consumption) in Japan, using a quasi-experimental instrumental variable approach."
332,4,"The study asks: How is intergenerational poverty (a form of intergenerational income/wealth mobility) transmitted in rural China, and what are the mechanisms—particularly the roles of various livelihood capitals (financial, natural, physical, human) and regional differences—that drive this transmission?"
333,3,"The paper examines how different taxation policies (flat tax, flat tax with child benefits, and progressive tax regimes) impact intergenerational income mobility. In essence, it asks: 'What is the effect of various income tax regimes on the intergenerational income correlation?'"
334,4,"The paper examines the extent to which intergenerational wealth mobility is driven by environmental versus genetic factors and the role of inheritances (bequests) in wealth transmission. In other words, it asks: What is the relative importance of nature versus nurture in determining wealth outcomes across generations, and how do bequests contribute to the persistence of wealth?"
335,4,"The paper asks: How strong is the intergenerational transfer of income in Latin American countries (specifically Panama and Brazil), and what are its determinants, including differences by gender, age, geographic location, and father’s education?"
336,4,"The paper focuses on assessing intergenerational income mobility—in particular, determining whether at least half of family‐income advantages are transmitted from parents to children, while also evaluating why previous estimates (such as those by Chetty et al.) may have been biased by methodological issues. In essence, the research questions address: (1) What is the magnitude of intergenerational income persistence in the U.S., (2) how do measurement biases (attenuation, life-cycle, selection, and functional-form biases) affect these estimates, and (3) what is the link between parental income inequality, economic persistence, and inequality of opportunity?"
337,2,"Does the observed higher intergenerational income mobility among college graduates reflect a causal effect of college completion, or is it driven by selection processes? The paper empirically examines whether expanding higher education directly boosts intergenerational mobility, once selection effects are accounted for."
338,4,"The paper aims to answer: What is the extent of intergenerational income mobility among rural residents in China, and how do different factors—especially human capital investments (e.g., education) versus occupational choices—contribute to the transmission of income across generations?"
339,2,"The paper empirically investigates whether improved education levels—reflected in increased years of schooling and enhanced education fairness—help individuals move upward by weakening the influence of family economic status on their income, thereby improving intergenerational income mobility (with attention to rural versus urban differences)."
340,3,"The paper investigates how intergenerational income mobility varies across different geographic regions in Canada (using Census Divisions) and examines its association with income inequality in the bottom half of the income distribution. In essence, it asks: How do geographic contexts influence intergenerational income mobility and what is the relationship with income distribution inequality?"
341,5,"How do gender and racial differences affect intergenerational income mobility at a high-quality public university in Brazil? Specifically, to what extent do factors such as ability (proxied by college entry exam scores) and the choice of major contribute to the observed mobility gaps among women and Afro-Brazilians compared to white males?"
342,8,"The paper asks: How do Americans perceive intergenerational income mobility, and do they overestimate the persistence of income ranks between generations?"
343,4,"The paper's research questions explore intergenerational wealth mobility and inheritance. Specifically, it asks: 'What is the association between class origin, wealth transfers, and wealth accumulation among young adults?' and 'Are wealth transfers more common and larger in size among individuals from the higher social classes compared to those from lower classes?'"
344,4,"The paper asks: What is the long-run effect of HBCU attendance on labor market outcomes—specifically on median earnings, earnings compared to a high school graduate, and intergenerational income mobility (i.e., moving to a higher income quantile relative to the household’s baseline)?"
345,4,"The paper investigates how sibling similarity in income — both at specific ages and as accumulated over the life course — reflects the strength of intergenerational transmission of income. In doing so, it asks: How do different measures of sibling income similarity (accumulated versus point-in-time) reveal the degree of intergenerational income persistence, and what role do factors like gender and family socioeconomic status play in this process?"
346,2,"The paper addresses an empirical question: what are the estimates of intergenerational mobility of earnings and income in Vietnam – specifically, how does a 10% increase in a father's earnings relate to changes in sons' and daughters' earnings and income, effectively quantifying these intergenerational elasticities?"
347,6,"How does intergenerational income mobility – both relative and absolute – impact non-income outcomes such as subjective wellbeing (life satisfaction and mental health), and through what mechanisms (such as financial perceptions and consumption changes) does this effect operate?"
348,7,"The paper develops a theoretical model to examine how population growth, particularly when different fertility rates exist between the educated and the uneducated, influences intergenerational mobility and economic development. It investigates whether differences in fertility can lead to cyclical behavior in mobility dynamics."
349,4,"The paper asks: Does money (specifically, exogenous, non‐human capital income) matter in intergenerational income transmission? It examines whether and through which channels—human capital versus financial components—the intergenerational income elasticity operates, with an emphasis on the contribution of the financial channel."
350,2,"The paper asks empirical questions about the levels and determinants of intra-generational and intergenerational mobility in terms of employment and income in Vietnam. In particular, it examines how mobility varies across occupations, wage-job sectors, and education levels, and estimates the intergenerational elasticity of earnings."
351,4,"The paper examines intergenerational transmission of socioeconomic disadvantage by asking: 'To what extent do Australian parents transmit their economic and social disadvantages (as measured by income, earnings, and welfare receipt) to their children, and how does this compare with international evidence?'"
352,1,"The paper questions the normative justification for shifting from a snapshot measure of income distribution to a 'movie' measure of intergenerational mobility for policy evaluation. In doing so, it asks: How valid is the claim that analyzing long‐term mobility (the movie) is normatively superior to using a snapshot of income, and can income redistribution itself improve intergenerational mobility even when that is the sole objective?"
353,4,"The research question examines how intergenerational income mobility is manifested through the resemblance in entire earnings trajectories—specifically in dimensions such as initial position, growth rate, deceleration, and volatility—between fathers and sons. It investigates whether the intergenerational economic association varies across life stages and is contingent on the overlapping periods of parental early career and offspring early childhood."
354,4,"What is the degree of intergenerational wealth mobility observed, and how does parental wealth (being twice the average) translate into offspring wealth (being 1.45 times the average) in historical families in the Lower Loire departement?"
355,2,"The paper primarily addresses empirical questions on intergenerational mobility by documenting variations in mobility across countries and exploring the determinants—specifically, the factors and policies—that contribute to higher mobility."
356,4,"The paper asks how intergenerational transmissions—via both nature (inherited, persistent ability) and nurture (bequests and educational investments)—affect income inequality and wealth mobility. It also investigates the trade-off between providing insurance against intergenerational ability risk (through optimal tax policies) and preserving social mobility in a dynastic economy."
357,4,"The research paper asks whether parental education and income continue to influence post-college incomes among college graduates—in other words, it examines if intergenerational wealth/income mobility (or inheritance) persists despite obtaining a bachelor’s degree. This challenges the equalization thesis by investigating if and how parental advantage is reproduced in the labor market outcomes of college graduates."
358,5,"The research question investigates how racial and ethnic differences impact intergenerational economic mobility between mothers and children. It examines, for instance, whether Black and Hispanic mothers’ lower net worth and higher poverty status are associated with differences in upward income mobility among young adult children relative to nonBlack/nonHispanic groups."
359,3,"The paper examines how college assignment and admissions policies interact with parental income segregation to affect intergenerational mobility. In other words, it asks: How do differences in college composition, and potential changes in allocation processes (e.g., equalizing application, admission, and matriculation rates across parental income groups), impact income segregation and intergenerational mobility outcomes?"
360,4,"The research question focuses on how to develop an intergenerational wealth mobility framework for Pakistan—that is, how to measure wealth mobility across generations (capturing wealth snapshots at ages 18 and 30) and understand the determinants and policy implications influencing wealth inheritance and distribution."
361,3,"The paper addresses how unequal school opportunity affects intergenerational income mobility and human capital accumulation, and it also investigates the effects of school equalisation and desegregation policies on improving mobility. The research question can be summarized as: “What is the impact of unequal school opportunity on intergenerational mobility and human capital accumulation, and how do school equalisation/desegregation policies improve mobility?”"
362,2,"How does income and earnings inequality affect intergenerational mobility, particularly in shaping absolute and relative mobility trends, and what are the underlying mechanisms linking a country’s economic and institutional structures to its social mobility patterns?"
363,4,"The research question asks: How do the four dimensions of socioeconomic status—education, occupation, income, and especially wealth—contribute to the intergenerational transmission of SES, and what unique role does wealth play in explaining the overall intergenerational mobility compared to the other dimensions?"
364,5,"How does marriage, particularly the channels of marriage entry and marital sorting, contribute to the intergenerational transmission of family income? In what ways do these mechanisms vary by gender, by different stages of the life course, and across birth cohorts?"
365,3,"The paper examines how institutional factors—specifically the property tax–based public school funding mechanism—affect intergenerational mobility by limiting access to quality education in low-income neighborhoods, creating spatial disparities in outcomes. It also explores the impact of policy interventions such as housing vouchers and the equal redistribution of property tax revenues on improving mobility and welfare over multiple generations."
366,2,How are absolute and relative intergenerational mobility related to economic growth (real gross metropolitan product growth) in U.S. metropolitan statistical areas? The focus is on estimating the empirical links between different measures of intergenerational mobility and metropolitan growth rates.
367,2,"The paper empirically investigates whether educational attainment moderates intergenerational socioeconomic (income) transmissions. It specifically asks: To what extent does education affect mobility, and are commonly observed effects distorted by measurement errors in parental socioeconomic status or by a selection process within educational systems?"
368,1,"The paper asks how rank‐based measures of intergenerational mobility perform relative to conventional elasticity‐based measures in small survey samples. In particular, it investigates whether rank‐based measures are less sensitive to methodological choices (life cycle measurement, treatment of zero incomes, choice of earnings measures) and if they offer robust subgroup comparisons across gender and geographic region."
369,1,"How can researchers measure intergenerational mobility so as to capture the varied effects of inequality—across dimensions such as income, status, and upward mobility—and what should we care about when choosing these statistics, especially in an international context?"
370,2,"How does education influence the intergenerational transmission of income in Canada? More specifically, to what extent does the education level and associated work skills of children explain the correlation between their income and that of their parents?"
371,1,"The paper primarily focuses on measurement and methodological advances. Its research questions include how to accurately estimate intergenerational mobility elasticities by addressing the latent nature of permanent incomes and life-cycle bias, testing the linearity assumption in the relationship between parental and child incomes, and uncovering heterogeneity (such as the U‑shape pattern) in mobility elasticities."
372,1,How does including non-monetary income from housing (imputed rent) in the measure of income affect the estimation of intergenerational income mobility across countries?
373,4,"The paper directly investigates intergenerational wealth mobility by estimating how the economic position of the parental household influences the educational attainment and earnings (gross hourly wages) of descendants. It further explores whether this transmission effect varies by gender and migration background, thereby asking: To what extent does parental income/wealth influence the economic success of the next generation, and how do factors like gender and migration affect this relationship?"
374,6,"How does intergenerational mobility, both relative and absolute, affect non-income outcomes such as subjective wellbeing (including life satisfaction and mental health)? In particular, what are the effects of upward versus downward income movements, and through what mechanisms (e.g., financial perceptions and consumption changes) do these impacts occur?"
375,4,Does daughters' educational attainment mediate the intergenerational transmission of economic mobility between mothers and their young adult daughters?
376,7,"How do innate talent and family background interact to shape intergenerational mobility, income inequality, and social welfare under different educational systems, as analyzed through a theoretical overlapping‐generations model?"
377,1,"The research paper primarily asks: How can we improve the measurement of intergenerational income mobility by summarizing the conditional offspring income distribution using multiple smooth quantiles instead of relying solely on parameterized means (i.e., geometric or arithmetic means)?"
378,4,"The paper asks: To what extent is intergenerational wealth and income mobility – measured by absolute mobility, relative mobility, and intergenerational income elasticity – different for Millennials as compared to Generation X and Baby Boomers, and what role do factors such as race and geography play in these differences?"
379,4,How does China's one‐child policy affect intergenerational economic (income) mobility by altering human capital investments and amplifying income inequality across generations?
380,2,"The paper empirically investigates intergenerational income mobility differences between Denmark and the United States. Specifically, it asks: (a) Is the United States substantially less mobile than Denmark, and by what magnitude? (b) How do mobility patterns differ when comparing family income versus individual (child) income? (c) Are there gender differences in mobility estimates, such that daughters and sons experience different levels of mobility? (d) How robust is the estimated intergenerational income elasticity in Denmark when considering the inclusion of taxes and public transfers?"
381,2,"The paper aims to answer an empirical question: What have been the trends in intergenerational income mobility among cohorts born between 1952 and 1975, and are there any major changes over time? In doing so, it also addresses issues related to measurement by using more efficient methods to generate reliable estimates."
382,3,"The paper investigates a policy question: What is the effect of equalizing school district revenues—through state-level school finance reforms—on intergenerational income mobility, particularly for low-income students, and through what mechanisms (e.g., changes in teacher numbers or college attendance) do these effects occur."
383,5,"The paper asks: What are the ethnic disparities in intergenerational income mobility among the descendants of immigrants in the Netherlands, and how do parental income transmission mechanisms differ across ethnic groups?"
384,2,"The paper asks: (1) How well can intergenerational wage mobility be measured using available survey data in the Philippine labor market? (2) To what extent are the wages of sons and daughters persistent relative to their fathers' wages? (3) How does parental education (and nonlabor income) influence wage outcomes and educational achievements, as evidenced by regression estimates and transition probabilities?"
385,1,"The research question asks: Does the commonly used rank‐rank income mobility model fully capture the total predictive relationship between multiple parental factors (including wealth, education, etc.) and child income, and if not, what additional parental factors account for the missing explained variation?"
386,4,"The paper poses two interlinked research questions. First, it asks: “How does the wealth of grandparents and parents (i.e. intergenerational wealth/inheritance) affect the stock of resources that translate into the younger generation’s household income?” This falls under category 4 (Intergenerational Wealth Mobility and Inheritance). Second, by decomposing the child’s income by race, the study also examines: “To what extent are racial disparities in income attributable to differences in family wealth background?” Although this latter question corresponds to category 5 (Demographic Differences in Mobility), the primary framing of the paper centers on the intergenerational transmission of wealth and income."
387,2,"Does rising income inequality during childhood reduce intergenerational income mobility by strengthening the role of parental income in determining children’s future economic outcomes, particularly accounting for factors like interstate migration?"
388,4,"Does the prevalence of state‐owned enterprises (SOEs) affect intergenerational income persistence, potentially hampering mobility through mechanisms such as stifling competition from the private sector and facilitating occupational inheritance within SOEs?"
389,4,"The paper primarily asks: Are children better off than their parents? More specifically, it investigates absolute and relative intergenerational labour income mobility in Germany and the US, comparing the mobility patterns over different cohorts to assess whether and how economic growth is more broadly shared between generations."
390,1,"Measurement and Methodological Advances – The paper introduces a correlation curve tool to overcome shortcomings in traditional measures (elasticity and correlation coefficients) for analyzing nonlinear intergenerational income mobility, thereby providing a more comprehensive picture of income mobility."
391,2,"The paper asks: 'How does the timing and distribution of parental income across different childhood periods (early childhood, middle childhood, and late adolescence) affect a child's educational attainment, controlling for permanent income, and what does this imply about the mechanisms (such as dynamic complementarities, income shocks, and parental investments) underlying intergenerational mobility?'"
392,2,"The paper primarily seeks to empirically assess changes in intergenerational mobility by comparing cohorts before and after the rise in inequality around 1980. It addresses questions such as: How has the rank-rank slope and IGE changed across these cohorts? What role do factors like increased returns to schooling and the parent income gradient in marriage, as well as gender differences, play in contributing to these changes in persistence?"
393,4,"The research question focuses on measuring intergenerational income mobility—specifically, how persistent income levels are passed from parents to children in rural India—and explores methodological strategies to improve unbiased estimation in a developing country context. In essence, the study asks: What is the extent of intergenerational income persistence in rural India, and how can one rectify biases in standard estimation methods used in such settings?"
394,4,"The paper's research questions focus on intergenerational wealth and income mobility—in particular, it investigates the degree of persistence in both income and education across generations in Chile and Peru, and examines how the structural expansion of education influences both absolute and relative mobility. An example research question is: 'What is the level of intergenerational persistence in income and education in Chile and Peru, and how does the expansion of education alter the mobility patterns across generations?'"
395,2,"The paper aims to provide empirical estimates on the degree of intergenerational income and earnings mobility in Canada using detailed income tax data. Specifically, it investigates how parental earnings are related to their offspring's earnings, including nuances such as nonlinearities in the mobility relationship across different parts of the income distribution."
396,3,"The paper investigates how geographic and neighborhood factors—including neighborhood income, access to high-quality schools, and regional purchasing power—affect intergenerational income mobility. The research question can be framed as: 'How do regional and neighborhood conditions influence long-term earnings and intergenerational income mobility?'"
397,4,"The research question examines the long‐run persistence of intergenerational socioeconomic status, focusing on how earnings, wealth inheritance, and occupational advantages contribute to mobility over centuries in Florence."
398,2,"The paper primarily asks: What is the magnitude of intergenerational income elasticity in urban China, and which parental factors (education, occupation, Communist Party membership) are significant in transmitting economic status from parents to children?"
399,2,"Empirical Estimates and Determinants: The paper primarily focuses on estimating intergenerational income mobility in Japan by measuring the intergenerational income elasticity (IGE) for sons and daughters, assessing its sensitivity to different measurement choices (personal versus family income), and examining changes across cohorts."
400,4,"The paper aims to answer whether and how intergenerational wealth and income mobility persist over an extended historical period, including questions such as: What is the long-run persistence (elasticity) of earnings and wealth transmission from ancestors to descendants, and how do real wealth inheritance and occupational status contribute to this persistence?"
401,1,"The paper’s research question focuses on measurement and methodological advances: How do life-cycle biases—arising from heterogeneity in individual income profiles and measurement error—affect the estimation of intergenerational income mobility, and to what extent do current empirical strategies (such as generalized errors‐in‐variables models and IV estimates) capture long-run income dynamics?"
402,2,"The paper primarily asks: (1) Do borrowing constraints among poor families hinder optimal parental investments in children’s human capital and thereby retard social mobility? (2) Is siblings’ inequality independent of family wealth, contrary to the predictions of most economic models?"
403,7,"The paper formulates a theoretical and structural model to answer how counterfactual policies—such as eliminating restrictions on neighborhood choice and equalizing neighborhood-specific production technologies—affect intergenerational income inequality and opportunity. Specifically, it asks: How do residential sorting and neighborhood externalities interact with intergenerational human capital accumulation to sustain or reduce income disparities under different policy interventions?"
404,2,"The paper aims to empirically estimate the intergenerational income elasticity (IGE) using complete individual income data from the Dutch population, and it further investigates demographic differences—specifically, how daughters exhibit higher IGEs than sons, indicating gender differences in income mobility."
405,5,"The paper asks: How do racial and gender differences affect intergenerational income mobility in the United States? In particular, it investigates why Black Americans (and American Indians) experience lower upward and higher downward mobility compared to whites, examines how differences in wages and employment among black and white men contribute to the income gap (with less evidence for women), and explores the role of neighborhood and family factors in explaining the persistence of the Black‐white income gap."
406,5,"The paper primarily seeks to answer: What are the racial differences—specifically between blacks and whites—in intergenerational economic mobility? It investigates whether black Americans experience less upward mobility and more downward mobility relative to whites, and if these differences signal lingering disparities in equality of opportunity."
407,4,"The paper examines intergenerational wealth/income mobility by investigating how family background, labor market trends, and public policies drive the transmission of economic advantage across generations. In particular, it asks: 'To what extent do factors such as access to high-quality human capital investments, the concentration of income among the top 1%, and labor market polarization influence the degree of intergenerational income persistence and the inheritance of economic advantage?'"
408,4,"The research primarily investigates intergenerational wealth mobility and inheritance by asking: 'How does the initial distribution of human capital and physical inheritance shape the long-run distribution of these variables and the subsequent intergenerational mobility in human capital? Additionally, how do different fiscal policies, such as inheritance and labor income taxes, affect human capital accumulation and income inequality over time?'"
409,4,"The paper examines intergenerational wealth mobility with a focus on the role of inheritances. Specifically, it asks: How do intergenerational wealth correlations across multiple generations operate, and to what extent do bequests and gifts explain the parent-child wealth correlation?"
410,3,"Does equalizing school district funding via state-level school finance reforms causally improve intergenerational mobility—particularly for low-income students—and are reductions in input gaps (e.g., teacher numbers, college attendance) the channels through which these effects occur?"
411,7,"The research question centers on how economic growth impacts intergenerational economic mobility within a theoretical model. Specifically, it asks: How does economic growth affect intergenerational mobility, and under what conditions (particularly when the effect of parental education on an individual's potential is not large) does growth lead to increased mobility and reduced income disparities? Additionally, the paper examines how factors such as population growth and technological progress modify this relationship."
412,4,"The paper asks: “How does intergenerational income and earnings mobility operate at the very top of the distribution in Sweden, and in what way can a society exhibit both widespread equality of opportunity for wage earners and the emergence of capitalistic dynasties?”"
413,3,"The paper examines how geographic impacts—specifically, national borders and subnational regional differences—affect intergenerational income mobility between Canada and the United States. It asks: How do geographic and institutional delineations influence observed differences in intergenerational mobility?"
414,2,"The paper primarily addresses the empirical estimates and determinants of intergenerational mobility. It specifically investigates: 'What is the degree and pattern of intergenerational income and educational mobility in urban Chile, including how these patterns vary across the overall income distribution and among different age cohorts?'"
415,2,"The study asks empirical questions about the determinants of intergenerational income mobility across different geographic areas (commuting zones), such as: How much do differences in children’s educational outcomes, the returns to human capital, non-human capital-mediated earnings differences, and marriage patterns account for the variation in income transmission between generations?"
416,4,"The paper investigates how the entire distribution of children’s income outcomes—such as the fraction of children below the poverty line, the variance of income, and the inter-quantile range—varies as a function of parents' income. It examines intergenerational income mobility from a distributional perspective using a novel counterfactual and continuous treatment framework."
417,2,"The paper empirically investigates whether early-life outcomes (birth weight, school grades, height, educational attainment) vary with parental income in a way that helps explain the differences in intergenerational income mobility between the UK and Sweden. In other words, it asks: Are the country differences in the associations between parental income and these early-life outcomes large enough to account for the observed gap in intergenerational income persistence?"
418,2,"The research question aims to empirically estimate the determinants behind sibling similarities in adult income outcomes beyond parental income. Specifically, it asks: 'What factors in addition to parental income can explain why siblings tend to have such similar outcomes, and how do measures of family structure, social problems, and parental involvement and attitudes contribute to this explanatory power?'"
419,4,"Is the traditional role of education-as-opportunity being crowded out by the increasingly privatized, inheritance-like transmission of wealth through education?"
420,8,"The research question asks whether relative intergenerational income mobility (upward or downward shifts relative to one's parents) influences interpersonal trust, an attitudinal outcome."
421,1,"How can biases in the measurement of intergenerational elasticity (IGE) and rank mobility — due primarily to limited panel dimensions, age structure issues, and incomplete data coverage in administrative tax records — be overcome to produce more accurate estimates of intergenerational income mobility?"
422,7,"The paper develops a theoretical model to explore how the interplay between inherited wealth, the Carnegie effect (where wealthier individuals exert less educational effort), minimum education investment costs, and borrowing constraints generate oscillations in intergenerational wealth and lead to rich social stratification over the long run. In essence, it asks: How do education‐effort complementarity and related economic constraints drive persistent intergenerational wealth mobility?"
423,2,"The paper aims to answer empirical questions including: What is the magnitude of intergenerational income elasticity and rank correlation in Australia when using direct observations of income? How sensitive are these estimates to methodological choices, and what role do factors such as spousal selection and family structure play in shaping income persistence across generations?"
424,2,"The paper asks: What are the empirical estimates of intergenerational mobility in education and income in China, and which parental factors (such as income level, educational attainment, and involvement in farming) determine the transmission of these socioeconomic outcomes?"
425,7,"The paper presents a theoretical and structural model. The key research question is: How does the complementarity between education and occupational effort, coupled with inherited wealth, college premium differences, borrowing constraints, and education investment costs, generate oscillations in wealth within a dynasty and lead to persistent intergenerational patterns in education and occupation choices?"
426,4,"The paper investigates how intergenerational income mobility in Norway evolved over the 20th century. It asks: How did trends in social mobility—as measured by father‐son income elasticities, income percentile associations, and brother correlations—change over time, and what role might rising educational attainment among low- and middle-income families play as a potential mechanism behind these changes?"
427,1,"The paper primarily asks: 'How can we estimate intergenerational mobility in lifetime family income using a new two‐stage method that constructs proxies from incomplete income histories (with lifecycle adjustments, schooling, and race) and what do these improved estimates reveal about trends in US intergenerational mobility?'"
428,2,"The paper empirically investigates whether and how childhood exposure to neighborhood pollutants (traffic-related air pollution and housing-derived lead risk) affects adult socioeconomic outcomes, specifically intergenerational income mobility, teenage births, and incarceration, with a focus on variations across racial groups."
429,5,"The paper asks: 'How do differences in entrepreneurial success and business survival between Black and white business owners affect their upward and downward wealth mobility, and thereby contribute to the racial wealth gap?'"
430,2,"The paper primarily asks: What is the level of intergenerational income mobility in China, and which factors—specifically noncognitive characteristics, cognitive abilities, education, occupation, and party membership—explain the channels of income transmission across generations? Additionally, how does this transmission structure vary by age cohort, gender, ethnicity, region, registration type, and income percentile?"
